"","tripid","ox","oy","oz","departure","dx","dy","dz","arrival","tdistance","ttime","dow","timestamp","uid","id","stayindestination","dtrips","home"
"47","140",721252.565728757,9677466.85466914,2549.2,14.51556,716963.777760432,9677113.77245597,2617.3,15.06639,6.70029757374484,0.550829999999999,5,1687446239,"614820f9e6",47,5288.976,22,"N"
"48","141",716957.831429325,9677051.26199584,2617.6,15.42694,721586.513769426,9679820.44606882,2575.8,15.98472,6.87648145985812,0.557779999999999,5,1687449545,"614820f9e6",48,13895.028,22,"N"
"49","142",721566.971838911,9679717.08024649,2575.8,18.38833,716999.735813162,9677060.8775819,2617.6,19.28667,10.2396008732433,0.898340000000001,5,1687461432,"614820f9e6",49,6731.02800000001,33,"Y"
"50","143",719762.063214427,9678829.04395003,2588.9,20.04833,721799.631196751,9679050.00490774,2555.8,20.25806,6.08603596811283,0.20973,5,1687464929,"614820f9e6",50,6551.02800000001,22,"N"
"51","144",721762.35284264,9679123.55355023,2563.9,21.70556,721855.589384306,9679069.92487206,2561.4,21.86806,0.31602613259879,0.162500000000001,5,1687470725,"614820f9e6",51,3156.98400000001,22,"N"
"52","145",721796.577717377,9679077.80417504,2561.5,22.51333,721789.810003915,9679055.09878898,2556.3,22.5825,0.110236156473509,0.0691699999999997,5,1687473297,"614820f9e6",52,5339.016,22,"N"
"53","146",721800.863241692,9679023.4918171,2549.8,22.93694,717017.559202491,9677053.66884956,2617.5,23.99639,9.0663341989861,1.05945,5,1687478387,"614820f9e6",53,1.32778,33,"Y"
"54","147",717000.263831262,9677063.98445625,2617.3,0.24889,717007.223804177,9677057.04896352,2616.2,0.26472,0.0410953265947509,0.01583,6,1687479353,"614820f9e6",54,31551.984,33,"Y"
"55","148",716917.736375495,9676975.76032585,2618,8.72167,722202.356605577,9677229.68065544,2537.2,9.01333,6.66093603255391,0.29166,6,1687510848,"614820f9e6",55,6638.976,66,"N"
"56","149",722242.210201092,9677254.48392458,2534.9,10.27333,722208.937334447,9677234.64599164,2537.6,10.56583,0.316351906799274,0.2925,6,1687516437,"614820f9e6",56,19972.008,66,"N"
"57","15",722305.840496427,9677217.94999261,2535.3,14.4575,716997.421032823,9677066.19028379,2617.1,15.82111,9.77597093090217,1.36361,4,1685548156,"614820f9e6",57,20.87833,33,"Y"
"58","150",722285.541483509,9677240.12834993,2535.3,11.06556,722048.785637906,9678614.13077489,2545.1,11.33583,2.26398612611705,0.27027,6,1687519209,"614820f9e6",58,2452.96800000001,22,"N"
"59","151",722042.312921607,9678626.24192153,2545.1,11.69583,722039.792991288,9678628.69064944,2545.2,11.74694,0.186115802224921,0.0511099999999995,6,1687520689,"614820f9e6",59,1184.00399999999,22,"N"
"60","152",722046.644235792,9678648.2769555,2540.2,11.95306,721916.875620602,9678637.26931573,2541.8,12.02472,0.19134601663233,0.0716599999999996,6,1687521689,"614820f9e6",60,4164.984,22,"N"
"61","153",721895.085275891,9678602.34700978,2540.6,12.61333,722188.262363819,9677164.1637402,2545,13.11,2.71148049250562,0.49667,6,1687525596,"614820f9e6",61,7382.016,66,"N"
"62","154",722218.141859973,9677164.243351,2539.8,14.1375,722195.163239048,9677224.13022435,2537.2,14.66389,1.0763663318921,0.526390000000001,6,1687531190,"614820f9e6",62,23.91222,66,"N"
"63","155",717003.872307794,9677067.27399748,2616.3,13.56417,718898.994175815,9676554.82777745,1310.8,14.04972,2.85550066413193,0.48555,1,1687701779,"614820f9e6",63,3224.988,21,"N"
"64","156",718870.147216527,9676540.76599078,2618,14.45861,718892.058195684,9676550.03996224,1310.8,14.46,0.0371036016234028,0.00139000000000067,1,1687703256,"614820f9e6",64,21580.02,21,"N"
"65","157",718922.586990333,9676521.30815426,2626.2,20.30111,717010.78382746,9677070.85641653,2616.2,20.45306,3.28445039870469,0.151949999999999,1,1687724831,"614820f9e6",65,12.76917,33,"Y"
"66","158",716995.601699846,9677062.25617008,2617.3,9.06306,716998.020396565,9677071.96243524,2617.3,9.07028,0.0208280391339744,0.00722000000000023,2,1687770253,"614820f9e6",66,14258.988,33,"Y"
"67","159",717149.126241749,9676899.76487342,2614.4,12.74806,722203.284809976,9677170.06523591,2545,13.02389,6.17379851560606,0.275829999999999,2,1687784486,"614820f9e6",67,13483.98,66,"N"
"68","16",717009.934182421,9676946.59047412,2617.8,16.12694,718877.560969579,9676551.68013533,2649.2,16.49361,2.758337889495,0.366669999999999,4,1685550577,"614820f9e6",68,22.26417,21,"N"
"69","160",722214.85266184,9677203.08110142,2537.6,14.09556,722299.673356036,9677176.67369939,2535.2,14.39111,0.567332177198743,0.295549999999999,2,1687789408,"614820f9e6",69,4673.988,12,"N"
