"","tripid","ox","oy","oz","departure","dx","dy","dz","arrival","tdistance","ttime","dow","timestamp","uid","id"
"418","28",723206.766963231,9678331.85844196,2516.6,21.10444,725953.193723155,9675295.65703182,2572.4,21.67056,12.4975187452364,0.566119999999998,4,1685569214,"5e07916cfb",418
"419","29",725835.699734053,9675546.8176138,2576.8,7.69556,722061.174091988,9677065.02597616,2547.6,8.23111,6.55141653326187,0.535549999999999,5,1685607232,"5e07916cfb",419
"420","3",722225.302860912,9677257.9425943,2549.6,17.37278,722219.412691568,9677259.86645381,2549.6,17.37583,4.23356264130917,0.00305000000000177,2,1685380953,"5e07916cfb",420
"421","30",722126.152789555,9677073.99081227,2557.7,10.99778,722407.522544097,9677162.21437329,2547.9,11.42194,0.698851282989005,0.424159999999999,5,1685618719,"5e07916cfb",421
"422","31",722394.884964313,9677177.99747096,2544.5,11.785,721983.833260794,9677226.93880791,2540.2,11.89389,0.513266749567742,0.108890000000001,5,1685620418,"5e07916cfb",422
"423","32",722134.803041342,9677204.79388133,2543.2,19.03583,725351.242293691,9680306.99275653,2527,19.43861,6.82602294898469,0.40278,2,1685993179,"5e07916cfb",423
"424","33",725351.776408783,9680307.17982746,2527,19.69306,724759.242923445,9680704.92196703,2540.1,19.88667,0.84862679609956,0.19361,2,1685994792,"5e07916cfb",424
"425","34",724797.979447668,9680663.42149275,2539.1,20.085,725339.233797296,9680282.95813622,2527.1,20.12056,0.918322002163564,0.0355600000000003,2,1685995634,"5e07916cfb",425
"426","35",725381.352827704,9680410.87224769,2531.7,20.69194,725957.602670224,9675304.75164612,2572.7,21.21194,8.7870375943119,0.52,2,1685999563,"5e07916cfb",426
"427","36",725867.281510919,9675424.8204938,2567.7,6.62667,722054.578140549,9677076.51803833,2556.2,7.21556,7.06290414953883,0.58889,3,1686035576,"5e07916cfb",427
"428","37",722056.856490421,9677088.33719429,2555.5,8.64028,722076.849883394,9677081.9200147,2555.7,8.74722,0.223977940207921,0.10694,3,1686041090,"5e07916cfb",428
"429","38",722080.035922122,9677091.40388596,2555.7,9.00833,722097.478610095,9677082.60226151,2556.1,9.04111,0.0930341030335366,0.0327799999999989,3,1686042148,"5e07916cfb",429
"430","39",722120.594787752,9677112.64455364,2555.7,11.05444,722199.472217401,9677227.25256623,2539.3,11.19778,0.270557309954302,0.14334,3,1686049912,"5e07916cfb",430
"431","4",722182.62828068,9677197.55303732,2539.2,19.23472,725352.414753584,9680309.68936614,2527.1,19.61972,7.57071914125846,0.385000000000002,2,1685389031,"5e07916cfb",431
"432","40",722285.105823789,9677201.48522725,2537.8,12.57639,722177.305546689,9677199.65284905,2538.2,12.78972,0.754957783453104,0.213330000000001,3,1686055643,"5e07916cfb",432
"433","41",722114.177887193,9677212.39560763,2543.2,13.10694,722633.033496188,9676967.36542655,2568.8,13.24361,3.39369404007414,0.136670000000001,3,1686057277,"5e07916cfb",433
"434","42",722993.766949012,9678035.06296128,2520.7,15.98944,725971.525854511,9675286.8971241,2572.7,16.31278,9.6388224402332,0.32334,4,1686154726,"5e07916cfb",434
"435","43",725961.207542264,9675287.49101941,2572.7,19.29528,723908.94566335,9678604.1806039,2505,19.70056,7.22821075476936,0.405279999999998,4,1686166922,"5e07916cfb",435
"436","44",723967.961818228,9678636.05032116,2502,21.07917,725967.889936611,9675299.3133955,2572,21.37722,6.65968035094569,0.29805,4,1686172958,"5e07916cfb",436
"437","45",725983.866921392,9675334.63308202,2586.1,8.86722,722095.520104247,9677075.56048222,2558.6,9.23611,7.92567130243521,0.36889,5,1686215650,"5e07916cfb",437
"438","46",726533.0627039,9674949.56317617,2633.3,19.06917,725966.662734825,9675303.2309741,2572,19.22556,1.55817089071707,0.156390000000002,1,1686510812,"5e07916cfb",438
"439","47",739388.094637316,9697028.69978343,2541.3,12.93111,739393.367245263,9697022.73942628,2541.6,12.93611,0.296405949256602,0.00499999999999901,2,1686574570,"5e07916cfb",439
"440","48",739411.959787243,9696964.40284024,2541.6,13.10333,725966.99380125,9675301.83677395,2572,14.45444,41.2782809732693,1.35111,2,1686580036,"5e07916cfb",440
"441","49",725829.422520259,9675537.66002602,2576,16.75778,722227.044775371,9677249.47854513,2549.7,17.36944,7.10337619064334,0.611660000000001,2,1686590530,"5e07916cfb",441
"442","5",725073.369702261,9680372.04708371,2531.3,19.83806,721580.940733709,9677242.55130506,2564.8,20.28694,6.4992037761766,0.448880000000003,2,1685391433,"5e07916cfb",442
"443","50",722170.796949708,9677203.98890118,2541.2,19.25972,722257.631050519,9678802.07004739,2552.3,19.58306,4.96461022852308,0.323339999999998,2,1686598499,"5e07916cfb",443
"444","51",722256.293553066,9678812.90022065,2551.7,19.91528,725351.024841083,9680309.76926899,2529.4,20.15944,4.82069082534983,0.244160000000001,2,1686600574,"5e07916cfb",444
"445","52",725288.329337379,9680404.11451599,2531.6,22.30056,725950.512817331,9675301.23629806,2573,22.72028,9.91849412881954,0.419719999999998,2,1686609793,"5e07916cfb",445
"446","53",722055.911825639,9677082.37750042,2547.5,8.8225,722095.741465533,9677081.23390081,2558.5,9.145,0.173112155787216,0.3225,3,1686647322,"5e07916cfb",446
"447","54",722180.485001309,9677011.50439174,2558.6,10.84694,722197.955625772,9677206.07523057,2538,11.06472,0.657425777495076,0.217779999999999,3,1686654233,"5e07916cfb",447
"448","55",722187.206127873,9677283.14982498,2536,11.31833,725349.649380602,9680293.02649653,2529.2,11.47944,5.73506181737821,0.161110000000001,3,1686655726,"5e07916cfb",448
"449","56",725360.881024334,9680299.25549125,2527.4,15.34417,723917.932876634,9679310.82098065,2512.5,15.905,6.86559242195222,0.560829999999999,3,1686671658,"5e07916cfb",449
"450","57",723548.411114396,9679488.5397993,2533.8,16.50833,725351.676483079,9680307.26848788,2531.3,17.325,11.7832997394482,0.816669999999998,3,1686676770,"5e07916cfb",450
"451","58",725186.460637908,9680351.17384952,2532.4,17.81083,722150.347489171,9677310.48942679,2550.3,18.25083,7.9581560875376,0.440000000000001,3,1686680103,"5e07916cfb",451
"452","59",725449.336561722,9675021.00530905,2590.4,18.40639,725442.444395483,9675003.85227912,2590.4,18.42139,0.031945285937019,0.0150000000000006,1,1687112717,"5e07916cfb",452
"453","6",721882.179261322,9677223.29246355,2558,21.81167,725967.703028053,9675300.48612751,2574.8,22.2075,7.13336368817321,0.39583,2,1685398347,"5e07916cfb",453
"454","60",725371.499141278,9674881.43329206,2587.8,19.53306,725963.339402486,9675310.20500707,2572.1,19.75083,2.32346471137936,0.217770000000002,1,1687117503,"5e07916cfb",454
"455","61",725991.299042148,9675287.86766024,2571.8,6.52361,722104.323431755,9677111.03657907,2558.5,7.10361,7.66294522568761,0.58,2,1687158373,"5e07916cfb",455
"456","62",722098.208834093,9677118.07058405,2556.1,8.93194,722367.500472304,9677155.25136079,2546.1,9.33944,0.502884290830345,0.407499999999999,2,1687166422,"5e07916cfb",456
"457","63",722333.980318056,9677140.19185828,2539.7,10.46833,722196.116487582,9677222.40315972,2540.9,10.85361,0.426434995264772,0.38528,2,1687171873,"5e07916cfb",457
"458","64",722171.27795264,9677343.28958472,2536,12.33528,725353.088478422,9680307.10006353,2529.4,12.71417,6.14653865297609,0.37889,2,1687178571,"5e07916cfb",458
"459","65",725356.353424539,9680292.14076855,2527.4,13.9975,723119.047326408,9678930.44448357,2539.1,14.15806,3.77694843481367,0.16056,2,1687183769,"5e07916cfb",459
"460","66",723271.228312359,9679231.79508428,2540.8,14.68611,725350.698124322,9680307.40295738,2531.3,14.82833,3.31578334665982,0.14222,2,1687186182,"5e07916cfb",460
"461","67",725368.732816415,9680305.91080929,2527.4,16.56639,722223.822517211,9677238.39102164,2535.7,16.95444,5.92533409400995,0.388050000000003,2,1687193836,"5e07916cfb",461
"462","68",722137.769238003,9677215.7159551,2556.3,18.67528,724735.467514577,9680348.65932734,2535.5,20.00889,15.5699651929255,1.33361,2,1687204832,"5e07916cfb",462
"463","69",724120.148006046,9677383.21292102,2534.2,20.58361,725959.710703701,9675308.24286973,2572.1,20.78472,6.98967952319088,0.20111,2,1687207625,"5e07916cfb",463
"464","7",725957.397380677,9675314.1643373,2572.4,6.47111,722055.091309888,9677083.70616544,2555.4,7.31806,7.36084907648198,0.84695,3,1685431145,"5e07916cfb",464
"465","70",725974.931931726,9675282.62165394,2572.2,22.31889,725976.686097261,9675299.43012721,2572.1,22.94306,18.360474606957,0.624169999999999,2,1687215395,"5e07916cfb",465
"466","71",725969.024235771,9675311.57721031,2572.1,6.49389,722053.234433127,9677065.01796365,2547.4,7.03639,7.41720886909909,0.5425,3,1687244531,"5e07916cfb",466
"467","72",722032.83829797,9677107.62436733,2555.6,7.90778,722012.385176399,9677174.50768431,2539.8,8.10389,0.130074058345741,0.19611,3,1687248374,"5e07916cfb",467
"468","73",721999.534815332,9677164.410553,2539.8,8.86306,722097.012167521,9677089.19488759,2556.1,8.98694,0.114173613460022,0.12388,3,1687251553,"5e07916cfb",468
"469","74",722126.940945934,9677091.99519598,2557.2,10.25,722194.325774943,9677209.66514356,2538,11.02056,0.672556339983257,0.77056,3,1687258874,"5e07916cfb",469
"470","75",722186.977049715,9677210.55194849,2539.2,12.65833,725966.692978156,9675301.51657203,2571.6,13.09917,7.1077331131314,0.440840000000001,3,1687266357,"5e07916cfb",470
"471","76",725995.365784407,9675286.11273744,2572.2,17.18861,722192.808686003,9677232.00917694,2539.2,17.76167,7.86417610345757,0.573059999999998,3,1687283142,"5e07916cfb",471
"472","77",722081.801325271,9677196.30543089,2556.3,19.26278,725966.961350461,9675363.50908639,2572.1,19.65083,7.71943468779768,0.38805,3,1687289943,"5e07916cfb",472
"473","78",725976.546845594,9675290.1176041,2572.6,21.32667,725958.505922384,9675312.25994997,2572.1,21.37111,0.0673518515087737,0.0444400000000016,3,1687296136,"5e07916cfb",473
"474","79",725966.618858848,9675285.21381905,2572.4,6.62472,722095.994511862,9677110.99607878,2555.6,7.01139,7.33717962018104,0.38667,4,1687330841,"5e07916cfb",474
"475","8",722064.455096004,9677065.37406808,2547.6,7.975,722319.67726702,9677219.92726381,2535.9,8.81972,0.481921853451053,0.844720000000001,3,1685436551,"5e07916cfb",475
"476","80",722066.879962874,9677103.3278871,2557.3,8.82778,722073.896750025,9677103.3817804,2556.2,8.99028,0.280698214512183,0.1625,4,1687337965,"5e07916cfb",476
"477","81",722050.867924732,9677091.20132953,2547.4,10.3725,722305.107408456,9677099.6084942,2548,10.65139,0.779839820844323,0.278889999999999,4,1687343945,"5e07916cfb",477
"478","82",722310.779690833,9677106.47777199,2540,12.16222,722213.394797092,9677189.92221012,2538.1,12.57167,0.719332214235371,0.40945,4,1687350858,"5e07916cfb",478
"479","83",722194.748341719,9677197.15545554,2538.1,13.21056,725960.577460443,9675307.90948494,2572.1,13.79972,7.09000872559688,0.589160000000001,4,1687355279,"5e07916cfb",479
"480","84",726002.188643118,9675307.91125447,2571.7,15.04556,722983.229709842,9678337.85233916,2520.4,15.42639,7.0474507265705,0.38083,4,1687361135,"5e07916cfb",480
"481","85",723026.826643508,9678460.14398184,2521.2,16.25611,723954.870206326,9679314.71479606,2520.2,16.40139,2.32246782404827,0.14528,4,1687364645,"5e07916cfb",481
"482","86",723905.051913396,9679308.74246635,2512.7,16.58222,723051.935120518,9678434.67215285,2519.4,17.08472,5.46112733130342,0.502500000000001,4,1687367105,"5e07916cfb",482
"483","87",723096.308197497,9678411.75413441,2518.7,17.25167,725349.325694605,9680304.81730731,2531.4,17.58917,5.34357181534711,0.337499999999999,4,1687368921,"5e07916cfb",483
"484","88",725349.252303778,9680294.85214761,2527.5,19.03278,725979.298633259,9675292.94403889,2572.6,19.75083,12.6688968088969,0.718050000000002,4,1687376703,"5e07916cfb",484
"485","89",725995.818887206,9675278.44712178,2572.2,20.02417,725962.497661401,9675305.94832045,2572.1,20.33806,0.4619384691166,0.313889999999997,4,1687378817,"5e07916cfb",485
"486","9",722217.016285237,9677212.90965764,2537.8,9.06528,722084.119849205,9677074.26459378,2558.6,9.14806,0.26535363000597,0.0827799999999996,3,1685437733,"5e07916cfb",486
"487","90",725976.888786034,9675900.77847685,2612.4,21.55889,725954.408013597,9675302.9878052,2572.1,22.00889,11.3247603155801,0.449999999999999,4,1687384832,"5e07916cfb",487
